Nome,Idade,Curso,Ano de Ingresso,Semestre Atual,Média de Notas,Total de Créditos Concluídos,Bolsa de Estudo,Tipo de Alojamento,Participação em Atividades Extracurriculares,Participação em Projetos de Pesquisa,Estágio Atual,Empresa do Estágio,Tempo de Viagem até a Universidade,Satisfação com o Curso
Bruno Silva,29,Medicina,2020,7,8.26,184,não,casa,não,não,sim,Empresa B,40,1
Erika Martins,23,Medicina,2020,1,1.03,152,não,casa,sim,não,não,,26,4
Julia Pereira,19,Administração,2019,2,6.3,115,não,casa,não,não,sim,Empresa A,24,4
Fernanda Pereira,23,Psicologia,2020,7,4.85,108,não,casa,não,não,não,,43,3
Fernanda Costa,29,Arquitetura,2016,9,3.29,0,não,apartamento,não,não,não,,27,3
Gustavo Ferreira,29,Ciência da Computação,2017,5,5.76,160,não,casa,não,sim,não,,41,5
Gustavo Oliveira,23,Direito,2019,1,4.57,119,sim,casa,sim,não,não,,60,4
Igor Ribeiro,29,Administração,2018,8,7.77,95,não,moradia estudantil,não,não,não,,12,2
Bruno Gomes,26,Engenharia,2020,4,4.17,70,sim,moradia estudantil,não,sim,sim,Empresa A,13,3
Julia Gomes,22,Psicologia,2015,9,4.74,3,não,apartamento,não,não,não,,20,2
Helena Almeida,29,Arquitetura,2015,3,8.96,140,não,casa,não,não,não,,21,3
Fernanda Santos,19,Direito,2020,10,1.02,38,não,república,não,não,sim,Empresa D,55,4
Alice Ferreira,28,Engenharia,2015,5,8.9,13,não,casa,sim,não,não,,17,5
Fernanda Pereira,19,Arquitetura,2017,2,7.57,41,não,apartamento,sim,sim,não,,40,3
Julia Ferreira,27,Direito,2015,2,2.69,68,sim,apartamento,não,não,não,,20,1
Carla Ribeiro,28,Psicologia,2015,8,1.3,130,não,casa,não,não,não,,10,5
Helena Costa,20,Ciência da Computação,2016,3,7.22,30,não,apartamento,não,não,não,,54,5
Helena Oliveira,28,Administração,2018,1,6.17,176,não,moradia estudantil,não,não,não,,29,1
Julia Costa,19,Administração,2015,1,8.94,68,não,república,sim,sim,não,,58,2
Helena Silva,19,Direito,2017,3,1.07,165,sim,moradia estudantil,sim,sim,não,,56,3
Helena Ribeiro,27,Ciência da Computação,2018,3,8.48,28,não,casa,sim,sim,não,,49,5
Bruno Oliveira,27,Medicina,2020,10,1.17,68,não,casa,sim,não,não,,38,3
Bruno Oliveira,26,Ciência da Computação,2018,3,9.69,179,não,apartamento,sim,sim,não,,57,1
Alice Gomes,19,Engenharia,2017,5,6.54,28,sim,moradia estudantil,sim,não,não,,17,2
Carla Martins,27,Arquitetura,2018,6,7.97,78,não,república,não,não,não,,48,4
Erika Martins,29,Direito,2018,2,1.71,56,não,república,não,não,não,,51,3
Carla Pereira,28,Administração,2015,6,5.46,35,sim,apartamento,sim,não,sim,Empresa E,14,2
Gustavo Costa,26,Administração,2015,3,7.61,84,não,república,não,não,não,,22,5
Igor Almeida,23,Arquitetura,2017,3,4.72,189,não,casa,não,não,não,,21,4
Carla Martins,21,Direito,2016,4,0.88,11,não,apartamento,sim,não,não,,19,2
Daniel Gomes,18,Direito,2019,3,3.56,124,não,república,não,não,sim,Empresa A,49,1
Daniel Silva,29,Psicologia,2019,4,7.2,66,não,moradia estudantil,não,sim,sim,Empresa B,54,2
Alice Martins,25,Arquitetura,2015,7,4.47,120,não,casa,não,não,sim,Empresa A,11,3
Daniel Oliveira,18,Medicina,2018,10,0.12,197,não,apartamento,não,não,não,,23,1
Daniel Silva,24,Administração,2018,8,2.93,182,sim,apartamento,não,sim,não,,11,5
Julia Oliveira,23,Administração,2015,5,7.91,18,sim,república,não,não,não,,59,3
Daniel Almeida,29,Arquitetura,2018,2,4.6,11,não,moradia estudantil,sim,não,sim,Empresa D,55,1
Fernanda Ribeiro,29,Medicina,2019,8,1.36,93,não,casa,não,não,não,,42,5
Igor Gomes,19,Medicina,2018,5,4.41,32,sim,república,não,não,não,,10,2
Bruno Pereira,30,Engenharia,2017,4,3.77,102,não,apartamento,sim,não,não,,51,4
Erika Ferreira,27,Arquitetura,2019,7,2.1,159,não,república,não,sim,sim,Empresa D,51,1
Julia Pereira,20,Administração,2019,5,6.94,113,não,moradia estudantil,não,não,não,,11,4
Erika Martins,25,Medicina,2015,5,5.67,150,não,moradia estudantil,não,não,não,,30,1
Erika Ferreira,30,Psicologia,2016,7,1.92,150,não,casa,sim,não,sim,Empresa E,27,1
Bruno Pereira,28,Psicologia,2015,5,3.8,121,não,república,não,não,não,,47,5
Bruno Gomes,30,Medicina,2015,3,6.63,43,não,apartamento,não,não,não,,27,3
Alice Gomes,25,Medicina,2015,7,8.91,77,sim,casa,não,não,não,,10,2
Julia Oliveira,19,Arquitetura,2016,3,9.67,71,não,moradia estudantil,não,sim,não,,15,3
Carla Almeida,29,Engenharia,2018,8,3.81,97,não,moradia estudantil,não,não,não,,33,2
Carla Gomes,21,Ciência da Computação,2017,10,5.45,46,não,moradia estudantil,não,sim,sim,Empresa C,34,1
Igor Pereira,28,Ciência da Computação,2017,2,1.02,47,não,república,sim,não,não,,50,3
Erika Santos,23,Engenharia,2016,7,0.07,198,não,apartamento,não,não,não,,43,5
Helena Ribeiro,28,Arquitetura,2019,4,2.99,134,não,moradia estudantil,não,não,sim,Empresa A,28,5
Julia Costa,19,Administração,2017,7,0.33,127,sim,república,não,não,não,,50,4
Igor Oliveira,25,Administração,2018,6,2.78,109,não,casa,não,não,sim,Empresa B,14,3
Julia Almeida,23,Arquitetura,2020,1,1.92,132,não,república,não,não,não,,32,4
Fernanda Pereira,28,Medicina,2015,1,0.71,0,não,casa,não,não,não,,18,3
Bruno Costa,25,Ciência da Computação,2019,6,7.3,79,não,apartamento,não,não,sim,Empresa A,33,1
Gustavo Costa,23,Direito,2018,9,9.99,4,não,moradia estudantil,não,não,não,,27,5
Carla Santos,18,Medicina,2018,8,9.24,62,não,apartamento,não,não,não,,23,2
Julia Oliveira,27,Psicologia,2020,2,6.84,189,não,apartamento,não,sim,sim,Empresa E,60,1
Helena Silva,21,Administração,2015,6,1.95,161,não,apartamento,sim,não,sim,Empresa E,21,2
Daniel Almeida,18,Medicina,2016,9,7.88,107,não,casa,não,não,não,,29,5
Fernanda Silva,28,Engenharia,2019,7,5.6,143,não,apartamento,não,não,sim,Empresa B,29,1
Igor Almeida,26,Administração,2017,7,3.94,108,não,república,não,não,sim,Empresa D,22,4
Gustavo Almeida,24,Administração,2020,9,7.0,189,não,moradia estudantil,sim,não,não,,47,4
Gustavo Almeida,26,Medicina,2019,4,5.72,60,não,moradia estudantil,não,sim,não,,25,5
Daniel Santos,28,Engenharia,2018,2,3.47,34,não,moradia estudantil,não,não,não,,19,1
Fernanda Costa,27,Psicologia,2017,4,4.59,137,não,república,não,não,não,,11,3
Gustavo Costa,24,Arquitetura,2016,10,8.67,136,não,moradia estudantil,não,não,não,,23,3
Helena Costa,29,Psicologia,2015,2,8.05,87,não,moradia estudantil,não,não,sim,Empresa B,52,5
Erika Silva,25,Ciência da Computação,2020,10,0.81,84,sim,moradia estudantil,não,sim,não,,13,1
Julia Gomes,18,Ciência da Computação,2015,4,2.79,98,não,apartamento,não,não,sim,Empresa A,49,5
Carla Ribeiro,20,Direito,2016,8,0.58,42,não,apartamento,não,não,sim,Empresa A,38,3
Erika Silva,21,Arquitetura,2020,9,6.02,116,não,moradia estudantil,não,sim,não,,19,1
Igor Costa,26,Medicina,2018,3,7.46,156,não,casa,sim,não,não,,54,2
Igor Silva,24,Direito,2019,5,6.32,67,não,casa,não,não,não,,28,5
Igor Almeida,29,Administração,2016,1,0.14,39,não,apartamento,não,não,sim,Empresa C,54,2
Erika Ribeiro,22,Engenharia,2015,7,6.21,103,não,moradia estudantil,sim,não,sim,Empresa C,31,4
Gustavo Pereira,23,Arquitetura,2018,8,7.02,151,não,moradia estudantil,sim,sim,não,,21,5
Igor Gomes,30,Psicologia,2016,4,5.08,53,sim,casa,sim,sim,não,,13,1
Gustavo Costa,29,Medicina,2017,8,1.63,56,sim,moradia estudantil,não,não,sim,Empresa A,43,3
Helena Gomes,26,Psicologia,2016,6,9.29,175,não,apartamento,não,não,sim,Empresa A,29,2
Julia Costa,23,Arquitetura,2019,3,4.23,69,não,apartamento,não,não,não,,60,4
Daniel Santos,30,Engenharia,2016,10,3.94,6,não,apartamento,não,não,não,,11,3
Alice Ferreira,24,Ciência da Computação,2020,10,3.52,189,não,casa,não,não,não,,10,4
Erika Santos,23,Ciência da Computação,2015,6,1.51,151,não,moradia estudantil,não,não,sim,Empresa D,35,5
Fernanda Ferreira,19,Arquitetura,2020,6,3.2,116,não,moradia estudantil,não,não,não,,19,1
Erika Pereira,26,Administração,2016,7,1.79,89,não,casa,sim,não,não,,32,4
Daniel Silva,20,Direito,2018,4,5.77,0,não,casa,não,não,não,,28,1
Igor Silva,28,Psicologia,2019,10,3.34,98,não,apartamento,não,não,não,,27,4
Erika Martins,22,Administração,2018,7,7.65,63,não,casa,não,não,sim,Empresa E,49,3
Carla Ferreira,29,Administração,2017,3,9.49,197,sim,moradia estudantil,não,sim,não,,12,3
Erika Santos,18,Psicologia,2015,8,1.24,43,não,república,não,não,não,,29,5
Fernanda Ferreira,30,Ciência da Computação,2015,6,1.77,173,não,apartamento,não,não,sim,Empresa D,31,1
Igor Ferreira,22,Ciência da Computação,2019,9,4.52,124,sim,apartamento,não,sim,sim,Empresa C,19,1
Bruno Almeida,28,Psicologia,2016,1,8.59,11,não,casa,não,não,não,,45,5
Igor Almeida,30,Ciência da Computação,2017,4,9.63,101,não,apartamento,não,não,sim,Empresa C,45,1
Helena Oliveira,24,Psicologia,2016,10,9.61,68,sim,república,não,sim,não,,43,3
Alice Gomes,20,Direito,2020,8,8.15,10,não,casa,não,sim,não,,25,5
Igor Ribeiro,24,Ciência da Computação,2018,6,5.38,77,não,moradia estudantil,não,não,não,,41,4
Julia Ribeiro,22,Engenharia,2016,8,4.21,59,não,casa,não,não,não,,56,2
Igor Martins,19,Medicina,2017,3,2.32,67,sim,moradia estudantil,não,sim,não,,13,3
Carla Santos,25,Psicologia,2017,6,6.89,148,não,república,não,não,sim,Empresa B,17,3
Carla Gomes,19,Medicina,2019,1,3.59,7,não,apartamento,sim,sim,não,,54,3
Daniel Oliveira,28,Medicina,2017,7,2.13,99,sim,república,não,não,não,,11,1
Gustavo Ferreira,26,Medicina,2015,1,9.07,23,sim,moradia estudantil,não,não,não,,58,3
Alice Ribeiro,25,Arquitetura,2018,3,0.3,50,não,moradia estudantil,sim,não,não,,37,2
Helena Silva,22,Administração,2020,5,1.69,193,não,moradia estudantil,sim,sim,não,,11,4
Carla Ferreira,19,Direito,2016,9,0.12,13,sim,moradia estudantil,não,não,não,,52,1
Fernanda Ferreira,20,Ciência da Computação,2015,9,0.88,152,sim,apartamento,não,sim,não,,19,1
Igor Martins,29,Psicologia,2016,6,6.81,51,não,casa,não,não,não,,24,2
Fernanda Ferreira,24,Administração,2020,10,3.45,110,sim,apartamento,sim,sim,não,,37,2
Igor Gomes,27,Ciência da Computação,2018,7,2.48,5,não,casa,não,sim,não,,20,2
Bruno Ribeiro,24,Arquitetura,2016,6,5.15,45,não,moradia estudantil,não,sim,não,,37,1
Carla Ferreira,30,Psicologia,2015,1,3.16,62,não,apartamento,não,não,não,,24,5
Helena Gomes,21,Medicina,2019,2,7.44,190,não,moradia estudantil,não,não,sim,Empresa A,49,4
Julia Ferreira,29,Administração,2018,6,2.48,130,não,moradia estudantil,não,não,não,,16,2
Igor Santos,20,Medicina,2016,9,6.63,153,não,apartamento,não,não,não,,20,3
Carla Almeida,29,Medicina,2020,7,2.78,137,sim,apartamento,não,não,não,,57,2
Bruno Ribeiro,26,Psicologia,2016,5,3.34,38,não,apartamento,não,não,não,,25,3
Helena Santos,24,Engenharia,2018,10,8.41,130,não,moradia estudantil,não,não,não,,28,1
Erika Oliveira,21,Direito,2016,9,5.31,180,não,moradia estudantil,não,não,sim,Empresa A,44,3
Helena Costa,28,Ciência da Computação,2016,7,6.7,73,não,moradia estudantil,sim,sim,sim,Empresa B,52,2
Igor Ribeiro,24,Ciência da Computação,2015,8,0.87,71,não,casa,não,não,não,,37,4
Alice Ferreira,28,Direito,2020,3,6.77,153,não,apartamento,sim,não,não,,49,2
Gustavo Santos,26,Ciência da Computação,2017,10,3.46,102,não,moradia estudantil,não,não,não,,41,5
Fernanda Costa,25,Ciência da Computação,2018,7,5.46,112,não,república,sim,não,não,,16,1
Helena Gomes,25,Arquitetura,2018,5,4.83,105,não,moradia estudantil,não,sim,não,,10,5
Julia Silva,24,Arquitetura,2017,3,0.35,109,sim,moradia estudantil,sim,não,não,,29,1
Carla Gomes,27,Engenharia,2018,6,0.64,74,sim,moradia estudantil,não,não,não,,28,3
Igor Gomes,20,Administração,2020,5,2.72,153,não,república,não,não,não,,49,1
Bruno Oliveira,28,Administração,2019,9,0.44,15,não,moradia estudantil,não,sim,não,,34,1
Helena Ferreira,22,Ciência da Computação,2019,7,4.23,66,não,casa,não,não,não,,30,5
Helena Ferreira,25,Ciência da Computação,2015,9,1.05,125,sim,moradia estudantil,não,não,não,,59,5
Julia Almeida,23,Arquitetura,2016,10,8.65,140,não,apartamento,não,não,não,,46,2
Erika Gomes,21,Direito,2016,9,4.66,99,não,casa,não,não,não,,50,1
Helena Santos,29,Ciência da Computação,2019,2,4.71,42,não,moradia estudantil,sim,sim,não,,45,2
Julia Santos,23,Ciência da Computação,2017,9,7.54,79,não,moradia estudantil,sim,sim,não,,30,2
Fernanda Ribeiro,28,Arquitetura,2015,2,8.75,54,não,apartamento,não,não,não,,42,1
Bruno Almeida,28,Ciência da Computação,2020,4,2.43,39,não,apartamento,sim,não,não,,58,2
Alice Gomes,28,Engenharia,2019,8,5.7,142,não,república,sim,não,sim,Empresa B,57,1
Carla Gomes,22,Ciência da Computação,2015,5,3.9,40,não,república,não,não,não,,48,3
Daniel Ribeiro,18,Arquitetura,2019,10,9.68,117,não,república,não,não,não,,57,1
Erika Oliveira,24,Direito,2020,8,1.95,182,não,casa,não,sim,não,,49,3
Erika Costa,18,Ciência da Computação,2019,9,6.55,159,não,apartamento,não,não,não,,10,5
Helena Almeida,20,Arquitetura,2015,8,3.59,169,não,apartamento,não,não,sim,Empresa E,46,2
Helena Santos,21,Ciência da Computação,2019,1,3.21,45,não,casa,não,sim,não,,60,3
Alice Ferreira,21,Ciência da Computação,2019,6,0.57,120,não,casa,não,não,não,,10,5
Alice Almeida,21,Ciência da Computação,2016,3,3.17,73,sim,casa,não,não,sim,Empresa E,24,4
Erika Pereira,28,Psicologia,2020,8,2.18,21,não,casa,sim,não,sim,Empresa C,24,1
Carla Santos,23,Medicina,2018,7,5.5,89,não,casa,não,não,não,,42,2
Erika Oliveira,30,Ciência da Computação,2019,1,6.89,175,sim,apartamento,sim,não,não,,41,4
Helena Ferreira,21,Administração,2015,10,7.74,141,sim,casa,sim,não,não,,53,1
Carla Ribeiro,20,Arquitetura,2016,7,1.36,143,não,casa,não,não,não,,17,3
Julia Costa,27,Administração,2015,4,7.87,40,não,apartamento,sim,sim,não,,34,1
Alice Almeida,30,Arquitetura,2017,9,0.42,173,não,casa,não,não,não,,60,3
Alice Martins,28,Engenharia,2017,3,1.14,15,não,moradia estudantil,não,não,não,,20,3
Gustavo Martins,19,Ciência da Computação,2016,7,6.97,8,não,república,não,não,não,,31,3
Fernanda Silva,28,Arquitetura,2020,4,1.8,98,não,apartamento,não,não,não,,15,5
Igor Ribeiro,20,Medicina,2017,3,1.96,162,não,república,sim,não,sim,Empresa A,22,3
Bruno Ferreira,29,Medicina,2020,5,5.82,92,não,casa,não,não,não,,52,5
Bruno Ferreira,20,Administração,2020,6,3.31,169,não,apartamento,não,não,não,,10,1
Alice Costa,28,Arquitetura,2015,2,6.58,28,sim,apartamento,não,não,não,,35,5
Gustavo Silva,25,Ciência da Computação,2019,8,0.41,119,não,moradia estudantil,não,não,não,,19,1
Julia Martins,22,Administração,2017,9,6.12,193,não,república,não,não,não,,33,3
Fernanda Costa,24,Administração,2019,6,7.28,139,não,casa,não,não,não,,39,3
Igor Gomes,19,Engenharia,2020,9,5.75,79,não,apartamento,não,sim,sim,Empresa A,46,5
Gustavo Costa,22,Direito,2020,1,9.96,17,sim,casa,não,sim,não,,26,3
Gustavo Silva,18,Arquitetura,2016,6,6.1,61,não,república,não,não,não,,23,5
Julia Ribeiro,22,Administração,2015,5,2.39,187,não,moradia estudantil,não,não,não,,43,1
Erika Ferreira,28,Psicologia,2019,5,5.05,30,não,casa,não,não,não,,56,4
Helena Martins,22,Engenharia,2015,6,2.58,152,sim,casa,não,não,sim,Empresa B,41,5
Carla Martins,24,Administração,2020,7,4.8,72,não,apartamento,sim,não,não,,29,1
Helena Santos,24,Ciência da Computação,2017,8,5.2,27,não,república,não,sim,não,,11,2
Julia Oliveira,26,Ciência da Computação,2019,4,0.01,16,não,apartamento,não,não,não,,33,5
Daniel Costa,30,Engenharia,2017,7,2.3,157,não,moradia estudantil,sim,sim,sim,Empresa D,16,4
Alice Ribeiro,21,Psicologia,2018,9,6.8,178,não,república,não,não,não,,54,1
Fernanda Almeida,20,Direito,2015,5,0.68,154,não,república,não,não,não,,43,2
Carla Santos,27,Arquitetura,2020,8,7.22,131,não,casa,sim,não,não,,41,1
Bruno Costa,27,Engenharia,2015,6,3.96,178,não,apartamento,sim,sim,não,,18,4
Carla Gomes,18,Psicologia,2015,10,3.67,195,não,república,não,sim,não,,51,1
Carla Martins,21,Ciência da Computação,2016,8,6.99,93,não,apartamento,não,não,não,,52,2
Bruno Oliveira,28,Direito,2017,3,4.0,50,não,casa,não,não,não,,21,4
Erika Ferreira,22,Engenharia,2017,9,7.62,154,não,república,não,não,não,,47,2
Alice Silva,30,Medicina,2018,2,8.24,43,não,casa,não,sim,não,,58,4
Julia Santos,19,Direito,2018,7,9.23,192,não,casa,não,sim,sim,Empresa E,44,2
Igor Almeida,26,Psicologia,2018,1,7.16,113,sim,moradia estudantil,não,não,não,,30,1
Igor Silva,26,Medicina,2020,7,1.85,49,não,moradia estudantil,não,não,não,,10,4
Bruno Almeida,19,Direito,2016,4,8.53,197,não,moradia estudantil,não,não,não,,24,4
Helena Gomes,21,Direito,2019,2,2.31,188,não,moradia estudantil,sim,não,não,,47,5
Gustavo Costa,19,Administração,2018,8,8.32,80,sim,casa,não,sim,não,,33,1
Helena Ferreira,19,Psicologia,2015,1,9.66,183,não,república,sim,sim,sim,Empresa D,51,2
Gustavo Ferreira,24,Engenharia,2015,9,2.18,200,não,apartamento,não,não,sim,Empresa D,21,4
Erika Gomes,26,Engenharia,2020,5,4.73,20,sim,república,não,não,não,,55,3
Bruno Almeida,28,Direito,2020,5,7.84,171,sim,casa,não,não,não,,32,5
Helena Costa,28,Administração,2015,10,2.74,85,não,moradia estudantil,sim,sim,não,,33,5
Julia Ribeiro,30,Direito,2017,6,2.96,160,não,moradia estudantil,não,não,não,,15,1
Julia Ferreira,27,Ciência da Computação,2015,6,5.28,91,não,república,não,não,não,,19,4
Helena Martins,20,Ciência da Computação,2016,8,5.14,119,sim,moradia estudantil,não,sim,não,,54,3
Gustavo Pereira,22,Administração,2019,5,9.39,13,sim,moradia estudantil,não,não,não,,15,4
Gustavo Almeida,30,Engenharia,2016,5,6.29,96,não,moradia estudantil,não,não,não,,37,2
Gustavo Ribeiro,19,Medicina,2019,7,9.45,153,não,casa,não,sim,sim,Empresa D,12,2
Gustavo Santos,28,Arquitetura,2015,10,8.73,0,não,casa,não,não,não,,13,5
Igor Santos,21,Psicologia,2019,8,5.73,192,sim,apartamento,não,não,não,,44,5
Daniel Gomes,18,Administração,2015,1,0.16,5,não,moradia estudantil,não,não,não,,23,2
Fernanda Santos,25,Psicologia,2017,7,5.48,77,sim,casa,não,sim,não,,57,1
Bruno Ferreira,28,Administração,2019,2,0.59,54,sim,moradia estudantil,não,sim,não,,38,1
Fernanda Ribeiro,19,Psicologia,2018,1,5.41,22,não,moradia estudantil,não,sim,não,,37,4
Alice Pereira,30,Ciência da Computação,2015,3,6.92,40,não,moradia estudantil,não,sim,não,,41,3
Julia Martins,28,Engenharia,2017,4,4.75,12,não,casa,não,não,sim,Empresa D,24,1
Helena Santos,22,Arquitetura,2020,7,9.01,43,não,casa,não,não,não,,54,2
Fernanda Ribeiro,24,Administração,2015,9,4.36,31,sim,casa,não,não,não,,14,5
Igor Ribeiro,24,Ciência da Computação,2018,5,4.92,99,sim,moradia estudantil,não,não,não,,49,4
Fernanda Pereira,23,Ciência da Computação,2019,4,2.36,192,sim,apartamento,não,sim,sim,Empresa B,54,5
Daniel Costa,19,Ciência da Computação,2019,7,7.94,110,sim,apartamento,sim,não,sim,Empresa A,47,5
Julia Pereira,28,Engenharia,2017,3,3.48,6,não,casa,não,não,não,,15,3
Daniel Santos,26,Administração,2015,5,4.5,105,sim,apartamento,não,sim,não,,20,2
Gustavo Gomes,20,Direito,2019,8,4.09,70,não,república,sim,sim,sim,Empresa B,55,3
Carla Gomes,18,Direito,2020,6,7.17,62,não,república,não,sim,sim,Empresa C,47,2
Carla Silva,28,Psicologia,2019,6,9.48,190,não,casa,não,não,não,,42,4
Helena Ribeiro,26,Administração,2020,5,6.13,42,não,moradia estudantil,sim,não,não,,31,5
Julia Pereira,29,Ciência da Computação,2017,7,4.7,107,não,república,não,não,não,,60,3
Igor Oliveira,20,Administração,2017,6,1.73,58,não,apartamento,sim,não,não,,42,1
Helena Gomes,18,Arquitetura,2019,6,0.98,101,não,apartamento,não,sim,sim,Empresa E,55,2
Carla Costa,22,Ciência da Computação,2016,9,9.26,164,não,república,não,não,sim,Empresa C,11,5
Alice Silva,18,Medicina,2019,1,2.24,6,não,moradia estudantil,não,sim,não,,55,3
Daniel Almeida,23,Psicologia,2020,2,9.44,120,não,moradia estudantil,não,não,não,,26,4
Carla Gomes,29,Engenharia,2017,4,7.94,159,não,república,não,sim,sim,Empresa D,59,2
Fernanda Oliveira,24,Psicologia,2016,3,8.01,98,não,república,não,não,não,,16,1
Erika Santos,20,Medicina,2019,4,0.48,97,não,república,não,sim,sim,Empresa E,33,4
Bruno Silva,25,Medicina,2020,1,6.45,24,não,apartamento,sim,não,não,,36,5
Julia Martins,23,Ciência da Computação,2019,2,5.42,161,não,casa,não,não,não,,14,5
Julia Pereira,25,Engenharia,2019,5,6.88,60,não,moradia estudantil,não,não,não,,59,3
Fernanda Santos,21,Arquitetura,2015,1,4.35,59,não,casa,sim,não,não,,55,2
Julia Ribeiro,27,Administração,2019,10,8.23,12,não,apartamento,sim,sim,não,,59,1
Erika Martins,24,Arquitetura,2016,5,3.4,105,sim,apartamento,não,não,não,,41,1
Carla Oliveira,20,Direito,2019,5,8.77,149,não,casa,não,não,sim,Empresa D,47,4
Helena Ferreira,24,Direito,2019,3,9.02,93,não,república,sim,não,não,,26,2
Gustavo Martins,26,Ciência da Computação,2019,7,5.76,59,não,casa,não,não,sim,Empresa B,46,4
Fernanda Costa,29,Psicologia,2020,1,5.57,78,não,apartamento,não,não,não,,43,1
Carla Martins,23,Psicologia,2018,7,5.58,10,sim,apartamento,não,não,não,,25,5
Alice Almeida,20,Direito,2017,6,3.91,59,não,moradia estudantil,sim,não,não,,17,1
Gustavo Oliveira,18,Engenharia,2020,7,2.78,185,sim,apartamento,não,não,não,,46,5
Bruno Martins,29,Psicologia,2019,8,7.55,66,sim,república,sim,não,não,,14,1
Helena Ribeiro,19,Engenharia,2020,6,0.46,171,não,casa,não,não,sim,Empresa A,24,3
Erika Martins,26,Psicologia,2020,4,8.12,142,não,casa,não,não,não,,13,4
Gustavo Costa,27,Engenharia,2016,8,3.62,196,não,moradia estudantil,não,não,não,,45,4
Alice Oliveira,27,Psicologia,2017,10,7.24,168,sim,apartamento,não,não,não,,14,2
Carla Costa,26,Arquitetura,2017,7,1.31,73,não,apartamento,não,não,não,,53,2
Helena Gomes,30,Psicologia,2017,2,0.88,66,não,casa,não,não,não,,28,2
Erika Martins,30,Engenharia,2018,4,7.74,165,não,casa,não,não,não,,29,5
Helena Martins,30,Direito,2015,9,9.97,187,não,casa,sim,não,não,,58,4
Julia Santos,25,Arquitetura,2017,8,0.39,130,não,república,não,não,não,,24,4
Daniel Oliveira,27,Ciência da Computação,2017,2,3.41,55,não,república,não,não,não,,51,1
Igor Gomes,30,Administração,2020,2,9.69,142,não,moradia estudantil,não,sim,não,,27,4
Bruno Oliveira,27,Medicina,2018,7,8.74,101,não,apartamento,não,não,não,,21,2
Daniel Ferreira,18,Psicologia,2020,10,1.6,33,não,moradia estudantil,sim,não,não,,52,3
Helena Pereira,27,Direito,2020,4,8.61,196,não,casa,sim,não,não,,13,1
Igor Oliveira,23,Engenharia,2020,5,5.04,50,não,moradia estudantil,não,sim,não,,37,4
Alice Almeida,23,Engenharia,2020,9,6.17,107,não,casa,não,não,não,,10,5
Alice Santos,23,Ciência da Computação,2019,9,5.82,13,não,república,não,sim,não,,28,2
Julia Martins,29,Medicina,2017,2,3.0,167,não,moradia estudantil,sim,não,não,,35,5
Carla Martins,18,Arquitetura,2018,3,8.53,34,não,apartamento,não,não,não,,38,5
Daniel Pereira,27,Ciência da Computação,2017,1,5.84,88,não,casa,não,não,sim,Empresa C,30,4
Julia Ferreira,26,Psicologia,2018,2,4.7,114,não,casa,não,não,não,,48,5
Helena Ribeiro,22,Ciência da Computação,2017,1,4.71,177,não,república,não,não,sim,Empresa E,17,4
Fernanda Martins,27,Engenharia,2020,6,7.17,101,não,casa,não,não,não,,39,2
Daniel Oliveira,29,Medicina,2017,4,8.05,40,não,república,sim,não,não,,35,1
Helena Silva,21,Engenharia,2016,8,3.88,15,não,república,sim,não,sim,Empresa D,16,4
Fernanda Oliveira,22,Psicologia,2019,6,5.95,200,não,república,não,não,não,,52,1
Bruno Ferreira,23,Arquitetura,2020,4,4.41,107,não,casa,não,não,sim,Empresa B,38,3
Erika Oliveira,29,Psicologia,2020,1,3.59,171,não,casa,não,sim,não,,24,3
Carla Ribeiro,22,Ciência da Computação,2019,7,8.1,25,sim,casa,não,não,não,,12,4
Julia Gomes,28,Administração,2017,10,2.54,82,sim,moradia estudantil,não,sim,não,,31,2
Julia Gomes,23,Engenharia,2019,9,7.86,17,não,república,não,não,sim,Empresa D,42,3
Helena Silva,26,Medicina,2015,8,9.24,118,sim,república,não,não,sim,Empresa A,25,1
Alice Santos,19,Medicina,2017,6,6.91,138,não,apartamento,não,sim,sim,Empresa C,29,2
Alice Gomes,29,Engenharia,2020,2,8.85,14,sim,república,sim,não,não,,12,1
Julia Oliveira,27,Ciência da Computação,2017,1,3.81,165,não,casa,não,sim,sim,Empresa E,24,5
Carla Gomes,23,Administração,2015,8,4.68,12,não,casa,não,não,não,,46,5
Bruno Silva,26,Administração,2018,8,3.46,176,não,república,não,não,não,,38,4
Helena Gomes,30,Ciência da Computação,2019,8,1.54,148,sim,república,não,não,não,,33,4
Daniel Gomes,27,Medicina,2017,5,0.35,65,não,moradia estudantil,sim,sim,não,,20,3
Fernanda Ferreira,30,Direito,2020,3,4.67,109,sim,casa,não,não,não,,27,2
Bruno Pereira,20,Arquitetura,2019,8,9.92,157,não,casa,não,sim,sim,Empresa A,33,3
Gustavo Santos,22,Direito,2015,2,6.57,150,não,moradia estudantil,sim,não,não,,42,2
Daniel Almeida,27,Ciência da Computação,2019,1,5.59,28,não,casa,não,não,não,,59,2
Helena Costa,27,Administração,2018,9,3.36,27,sim,república,não,não,não,,23,5
Gustavo Costa,26,Direito,2015,9,2.19,85,não,casa,não,sim,não,,39,3
Gustavo Ribeiro,18,Medicina,2018,3,9.95,77,não,apartamento,não,não,sim,Empresa D,12,3
Erika Ferreira,30,Arquitetura,2017,1,7.66,96,não,moradia estudantil,não,não,não,,27,2
